Stu dent,Term,Year,Level,Status,YearTerm,IsFemale,Ethnicity,Age,GPA-HS,GPA-TF,Major,Minor/Major2,Cred-Tot,Cred-Cum,GPA-PRE,GPA-Term,GPA-POST
4917,Fall,2010,Senior,C. UG,Fall,1,Asian,20,4.55,,BIOS,,18,80,3.846,4,3.875
4917,Spring,2010,Senior,C. UG,Fall,1,Asian,20,4.55,,BIOS,,12,98,3.875,0,3.875
4917,Fall,2011,Senior,C. UG,Fall,1,Asian,21,4.55,,BIOS,,19.5,98,3.875,3.667,3.842
4917,Spring,2011,Senior,C. UG,Fall,1,Asian,21,4.55,,BIOS,,17.5,117.5,3.842,3.813,3.838
102157,Fall,2010,Freshman,Fresh,Fall,0,White,18,4.5,,MECH,CHEM.E,13,0,0,3.231,3.231
102157,Spring,2010,Sophomore,C. UG,Fall,0,White,19,4.5,,MECH,,17,13,3.231,2.692,2.962
102157,Fall,2011,Sophomore,C. UG,Fall,0,White,19,4.5,,MECH,,18,30,2.962,3.167,3.045
102157,Spring,2011,Junior,C. UG,Fall,0,White,20,4.5,,MECH,,16,44,3.045,3.438,3.15
102157,Fall,2012,Junior,C. UG,Fall,0,White,20,4.5,,MECH,,16,60,3.15,3.75,3.276
102157,Spring,2012,Senior,C. UG,Fall,0,White,21,4.5,,MECH,,15,76,3.276,3.2,3.264
102157,Fall,2013,Senior,C. UG,Fall,0,White,21,4.5,,MECH,,18.5,91,3.264,3.647,3.324
102157,Spring,2013,Senior,C. UG,Fall,0,White,22,4.5,,MECH,,15,111,3.324,4,3.407
115894,Spring,2010,Senior,Transfer,Spring,1,White,42,,3.7,CSEE,,3,117,0,4,4
5124,Spring,2010,Senior,C. UG,Fall,1,Blk/AA,25,,3.14,MATH,,10,156,2.69,2.143,2.649
5124,Fall,2011,Senior,C. UG,Fall,1,Blk/AA,26,,3.14,MATH,,3,99,2.656,1,2.606
5183,Spring,2011,Senior,C. UG,Fall,0,White,23,3.44,,CSEE,,7,127,3.65,2,3.611
5188,Fall,2011,Senior,C. UG,Fall,0,Blk/AA,25,2.76,,BIOS,,3,118,2.542,4,2.579
5243,Spring,2010,Senior,C. UG,Spring,0,White,26,,,BIOS,,4,135,3.4,4,3.429
5264,Fall,2010,Junior,C. UG,Fall,1,White,23,3.83,,CSEE,,9,82,3.15,3,3.136
5264,Spring,2010,Senior,C. UG,Fall,1,White,23,3.83,,CSEE,,9,105,3.136,3.5,3.167
5264,Fall,2011,Senior,C. UG,Fall,1,White,24,3.83,,CSEE,,15,74,3.167,3.333,3.185
5264,Spring,2011,Senior,C. UG,Fall,1,White,24,3.83,,CSEE,,16,83,3.185,2.609,3.114
5281,Fall,2010,Senior,C. UG,Fall,0,Hp./Lat.,23,3.57,,IS,,16,95,2.41,3.056,2.508
5281,Spring,2010,Senior,C. UG,Fall,0,Hp./Lat.,23,3.57,,IS,,19,111.5,2.508,2.667,2.526
5281,Fall,2011,Senior,C. UG,Fall,0,Hp./Lat.,24,3.57,,IS,,17,127.5,2.526,3.118,2.593
5282,Fall,2010,Senior,C. UG,Fall,0,White,22,3.18,,Physics,,16.5,102,2.811,3,2.832
5282,Spring,2010,Senior,C. UG,Fall,0,White,22,3.18,,Physics,,16,115.5,2.832,2.7,2.821
5282,Fall,2011,Senior,C. UG,Fall,0,White,23,3.18,,Physics,,13,125.5,2.821,3,2.831
5282,Spring,2011,Senior,C. UG,Fall,0,White,23,3.18,,Physics,,13,131.5,2.831,2.696,2.819
5282,Fall,2012,Senior,C. UG,Fall,0,White,24,3.18,,Physics,,14.5,143,2.819,2.923,2.828
5359,Fall,2010,Senior,C. UG,Fall,0,White,22,3.7,,MECH,,16,114,3.14,3.813,3.223
5376,Fall,2010,Senior,C. UG,Fall,1,Int'l,23,3.11,,IS,,18,108,2.418,2.25,2.398
5376,Spring,2010,Senior,C. UG,Fall,1,Int'l,24,3.11,,IS,,6,117,2.398,2,2.376
5412,Fall,2010,Senior,C. UG,Fall,0,Blk/AA,22,2.84,,CHEM,,15,87,2.275,0.727,2.108
5412,Spring,2010,Senior,C. UG,Fall,0,Blk/AA,23,2.84,,CHEM,,19,95,2.108,1.737,2.05
5425,Fall,2010,Senior,C. UG,Fall,1,Asian,22,3.91,,BIOS,,12,116,3.31,3.5,3.328
5425,Spring,2010,Senior,C. UG,Fall,1,Asian,22,3.91,,BIOS,,17,128,3.328,3.412,3.338
5445,Fall,2010,Senior,C. UG,Fall,0,Blk/AA,22,3.88,,CSEE,,12,136,3.181,2.889,3.14
5447,Fall,2010,Junior,C. UG,Fall,1,Blk/AA,22,3.16,,IS,,15,81,3.074,3.2,3.094
5447,Spring,2010,Senior,C. UG,Fall,1,Blk/AA,22,3.16,,IS,,14.5,96,3.094,4,3.202
5447,Fall,2011,Senior,C. UG,Fall,1,Blk/AA,23,3.16,,IS,,13.5,110.5,3.202,3.75,3.256
5459,Fall,2010,Senior,C. UG,Fall,1,White,21,3.78,,CHEM.E,,11,158,3.307,3.273,3.304
5481,Fall,2010,Senior,C. UG,Fall,0,White,23,2.73,,IS,,15,111,2.37,1,2.33
5481,Spring,2010,Senior,C. UG,Fall,0,White,24,2.73,,IS,,15,123,2.33,1.8,2.263
5481,Fall,2011,Senior,C. UG,Fall,0,White,24,2.73,,IS,,15,125,2.263,1.5,2.192
5481,Spring,2011,Senior,C. UG,Fall,0,White,25,2.73,,IS,,12,128,2.192,1.667,2.158
5559,Fall,2010,Junior,C. UG,Fall,0,White,22,3.1,,CSEE,,18.5,64,2.344,2.588,2.397
5559,Spring,2010,Senior,C. UG,Fall,0,White,22,3.1,,CSEE,,16.5,83.5,2.378,3,2.474
5559,Fall,2011,Senior,C. UG,Fall,0,White,23,3.1,,CSEE,,13.5,101,2.495,3,2.549
5570,Fall,2010,Senior,C. UG,Fall,0,White,22,2.83,,MATH,,16.5,85,2.636,3.75,2.77
5570,Spring,2010,Senior,C. UG,Fall,0,White,22,2.83,,MATH,,13.5,98.5,2.77,4,2.84
5570,Fall,2011,Senior,C. UG,Fall,0,White,23,2.83,,MATH,,12,106,2.84,3,2.848
5574,Fall,2010,Senior,C. UG,Fall,0,White,21,3.57,,MECH,,12.5,120,3.149,3,3.136
5575,Fall,2010,Senior,C. UG,Fall,0,White,21,4.45,,Physics,,12.5,133,3.64,3.364,3.618
5575,Spring,2010,Senior,C. UG,Fall,0,White,22,4.45,,Physics,,7.5,145.5,3.618,3,3.592
5583,Spring,2010,Senior,C. UG,Fall,1,Asian,22,3.39,,IS,,18,95.5,2.467,2,2.412
5583,Spring,2011,Senior,C. UG,Fall,1,Asian,23,3.39,,IS,,3,106.5,2.412,3,2.429
5583,Fall,2012,Senior,C. UG,Fall,1,Asian,24,3.39,,IS,,6,109.5,2.429,4,2.514
5609,Fall,2010,Senior,C. UG,Fall,0,White,22,3.4,,CSEE,,15,110.5,3.324,3.75,3.368
5660,Spring,2010,Junior,Other,Fall,0,White,22,2.91,,CSEE,,14,57,2.396,1.929,2.29
5660,Fall,2011,Senior,C. UG,Fall,0,White,22,2.91,,CSEE,,12,70,2.203,3,2.236
5660,Spring,2011,Senior,C. UG,Fall,0,White,23,2.91,,CSEE,,6,73,2.236,0,2.064
5660,Fall,2012,Senior,C. UG,Fall,0,White,23,2.91,,IS,,6,73,2.064,2.5,2.095
5660,Spring,2012,Senior,C. UG,Fall,0,White,24,2.91,,IS,,6,79,2.095,0,2.095
5660,Fall,2013,Senior,C. UG,Fall,0,White,24,2.91,,IS,,4,79,2.095,1.286,2.033
